id,Treatment,EOS,EOS.DOY,phenophase
K184,Post_full,2022-09-29,272,EOS10
K185,Post_full,2022-10-20,293,EOS10
K187,Post_full,2022-10-10,283,EOS10
K188,Post_full,2022-10-06,279,EOS10
K189,Post_full,2022-10-14,287,EOS10
K191,Post_full,2022-10-07,280,EOS10
K192,Post_full,2022-09-12,255,EOS10
K193,Post_full,2022-09-27,270,EOS10
K194,Post_full,2022-10-07,280,EOS10
K195,Post_full,2022-10-19,292,EOS10
K196,Post_full,2022-10-25,298,EOS10
K197,Post_full,2022-10-13,286,EOS10
K198,Post_full,2022-10-04,277,EOS10
A02,Control,2022-10-12,285,EOS25
A03,Control,2022-10-26,299,EOS25
A04,Control,2022-10-14,287,EOS25
A05,Control,2022-11-10,314,EOS25
A06,Control,2022-11-04,308,EOS25
A07,Control,2022-10-28,301,EOS25
A08,Control,2022-10-26,299,EOS25
A10,Control,2022-10-31,304,EOS25
A11,Control,2022-11-10,314,EOS25
A12,Control,2022-11-08,312,EOS25
A13,Control,2022-11-13,317,EOS25
A14,Control,2022-11-09,313,EOS25
A15,Control,2022-11-06,310,EOS25
A16,Control,2022-10-30,303,EOS25
A17,Control,2022-11-10,314,EOS25
A18,Control,2022-10-13,286,EOS25
C37,Control,2022-11-05,309,EOS25
C38,Control,2022-11-01,305,EOS25
C40,Control,2022-10-20,293,EOS25
C41,Control,2022-11-05,309,EOS25
C42,Control,2022-11-03,307,EOS25
C43,Control,2022-11-03,307,EOS25
C44,Control,2022-10-22,295,EOS25
C45,Control,2022-10-28,301,EOS25
C46,Control,2022-11-09,313,EOS25
C47,Control,2022-10-29,302,EOS25
C48,Control,2022-11-10,314,EOS25
C49,Control,2022-11-07,311,EOS25
C50,Control,2022-11-04,308,EOS25
C51,Control,2022-11-19,323,EOS25
C52,Control,2022-11-20,324,EOS25
C53,Control,2022-11-15,319,EOS25
C54,Control,2022-11-09,313,EOS25
D55,Control,2022-10-29,302,EOS25
D56,Control,2022-11-01,305,EOS25
D57,Control,2022-11-01,305,EOS25
D58,Control,2022-10-05,278,EOS25
D59,Control,2022-10-15,288,EOS25
D60,Control,2022-11-08,312,EOS25
D61,Control,2022-10-19,292,EOS25
D62,Control,2022-10-26,299,EOS25
D63,Control,2022-11-09,313,EOS25
D64,Control,2022-10-31,304,EOS25
D65,Control,2022-11-03,307,EOS25
D66,Control,2022-11-14,318,EOS25
D67,Control,2022-11-03,307,EOS25
D68,Control,2022-11-04,308,EOS25
D70,Control,2022-10-22,295,EOS25
D71,Control,2022-11-01,305,EOS25
D72,Control,2022-10-20,293,EOS25
E73,Pre_day,2022-11-05,309,EOS25
E74,Pre_day,2022-10-27,300,EOS25
E75,Pre_day,2022-10-24,297,EOS25
E76,Pre_day,2022-11-19,323,EOS25
E77,Pre_day,2022-11-06,310,EOS25
E78,Pre_day,2022-11-10,314,EOS25
E79,Pre_day,2022-11-19,323,EOS25
E80,Pre_day,2022-11-05,309,EOS25
E81,Pre_day,2022-10-28,301,EOS25
E82,Pre_day,2022-11-10,314,EOS25
E83,Pre_day,2022-11-03,307,EOS25
E84,Pre_day,2022-10-28,301,EOS25
E85,Pre_day,2022-11-10,314,EOS25
E86,Pre_day,2022-10-24,297,EOS25
E87,Pre_day,2022-10-28,301,EOS25
E88,Pre_day,2022-11-08,312,EOS25
E89,Pre_day,2022-11-09,313,EOS25
E90,Pre_day,2022-11-06,310,EOS25
F100,Pre_night,2022-11-04,308,EOS25
F101,Pre_night,2022-11-22,326,EOS25
F102,Pre_night,2022-11-03,307,EOS25
F103,Pre_night,2022-10-29,302,EOS25
F104,Pre_night,2022-11-02,306,EOS25
F105,Pre_night,2022-10-21,294,EOS25
F106,Pre_night,2022-11-02,306,EOS25
F108,Pre_night,2022-11-15,319,EOS25
F91,Pre_night,2022-11-10,314,EOS25
F92,Pre_night,2022-11-13,317,EOS25
F93,Pre_night,2022-10-20,293,EOS25
F94,Pre_night,2022-10-27,300,EOS25
F95,Pre_night,2022-11-12,316,EOS25
F96,Pre_night,2022-11-12,316,EOS25
F97,Pre_night,2022-11-13,317,EOS25
F98,Pre_night,2022-11-02,306,EOS25
G109,Pre_full,2022-11-07,311,EOS25
G110,Pre_full,2022-11-09,313,EOS25
G111,Pre_full,2022-10-27,300,EOS25
G112,Pre_full,2022-10-30,303,EOS25
G113,Pre_full,2022-11-15,319,EOS25
G114,Pre_full,2022-11-08,312,EOS25
G115,Pre_full,2022-11-08,312,EOS25
G116,Pre_full,2022-11-10,314,EOS25
G117,Pre_full,2022-11-11,315,EOS25
G118,Pre_full,2022-11-10,314,EOS25
G119,Pre_full,2022-11-15,319,EOS25
G120,Pre_full,2022-11-14,318,EOS25
G121,Pre_full,2022-11-12,316,EOS25
G122,Pre_full,2022-11-05,309,EOS25
G123,Pre_full,2022-11-08,312,EOS25
G124,Pre_full,2022-10-29,302,EOS25
G125,Pre_full,2022-11-10,314,EOS25
G126,Pre_full,2022-11-11,315,EOS25
H127,Control,2022-11-06,310,EOS25
H128,Control,2022-11-01,305,EOS25
H129,Control,2022-11-09,313,EOS25
H130,Control,2022-10-05,278,EOS25
H131,Control,2022-10-21,294,EOS25
H132,Control,2022-10-09,282,EOS25
H133,Control,2022-10-31,304,EOS25
H134,Control,2022-11-03,307,EOS25
H135,Control,2022-11-08,312,EOS25
H136,Control,2022-10-26,299,EOS25
H137,Control,2022-10-18,291,EOS25
H138,Control,2022-11-03,307,EOS25
H139,Control,2022-10-26,299,EOS25
H140,Control,2022-11-02,306,EOS25
H141,Control,2022-11-11,315,EOS25
H142,Control,2022-11-08,312,EOS25
H144,Control,2022-10-26,299,EOS25
I145,Post_day,2022-11-19,323,EOS25
I146,Post_day,2022-11-07,311,EOS25
I147,Post_day,2022-10-22,295,EOS25
I148,Post_day,2022-11-10,314,EOS25
I149,Post_day,2022-10-26,299,EOS25
I150,Post_day,2022-10-31,304,EOS25
I151,Post_day,2022-10-17,290,EOS25
I152,Post_day,2022-10-17,290,EOS25
I154,Post_day,2022-10-08,281,EOS25
I155,Post_day,2022-10-15,288,EOS25
I157,Post_day,2022-10-07,280,EOS25
I159,Post_day,2022-10-02,275,EOS25
I160,Post_day,2022-10-28,301,EOS25
I161,Post_day,2022-10-26,299,EOS25
I162,Post_day,2022-10-22,295,EOS25
J163,Post_night,2022-11-03,307,EOS25
J164,Post_night,2022-11-05,309,EOS25
J165,Post_night,2022-10-17,290,EOS25
J166,Post_night,2022-11-13,317,EOS25
J167,Post_night,2022-10-11,284,EOS25
J168,Post_night,2022-11-07,311,EOS25
J169,Post_night,2022-10-31,304,EOS25
J170,Post_night,2022-10-27,300,EOS25
J171,Post_night,2022-11-12,316,EOS25
J172,Post_night,2022-10-27,300,EOS25
J173,Post_night,2022-11-01,305,EOS25
J175,Post_night,2022-11-11,315,EOS25
J176,Post_night,2022-10-28,301,EOS25
J177,Post_night,2022-10-18,291,EOS25
J178,Post_night,2022-10-30,303,EOS25
J179,Post_night,2022-10-18,291,EOS25
K181,Post_full,2022-10-17,290,EOS25
K183,Post_full,2022-11-05,309,EOS25
K184,Post_full,2022-11-08,312,EOS25
K185,Post_full,2022-11-11,315,EOS25
K187,Post_full,2022-11-02,306,EOS25
K188,Post_full,2022-11-02,306,EOS25
K189,Post_full,2022-10-29,302,EOS25
K191,Post_full,2022-11-08,312,EOS25
K192,Post_full,2022-10-26,299,EOS25
K193,Post_full,2022-10-30,303,EOS25
K194,Post_full,2022-10-30,303,EOS25
K195,Post_full,2022-11-05,309,EOS25
K196,Post_full,2022-11-06,310,EOS25
K197,Post_full,2022-11-02,306,EOS25
K198,Post_full,2022-10-11,284,EOS25
A02,Control,2022-11-02,306,EOS50
A03,Control,2022-11-08,312,EOS50
A04,Control,2022-11-03,307,EOS50
A05,Control,2022-11-21,325,EOS50
A06,Control,2022-11-13,317,EOS50
A07,Control,2022-11-06,310,EOS50
A08,Control,2022-11-13,317,EOS50
A10,Control,2022-11-12,316,EOS50
A11,Control,2022-11-27,331,EOS50
A12,Control,2022-11-25,329,EOS50
A13,Control,2022-11-22,326,EOS50
A14,Control,2022-11-16,320,EOS50
A15,Control,2022-11-15,319,EOS50
A16,Control,2022-11-10,314,EOS50
A17,Control,2022-11-16,320,EOS50
A18,Control,2022-11-12,316,EOS50
C37,Control,2022-11-13,317,EOS50
C38,Control,2022-11-11,315,EOS50
C40,Control,2022-11-08,312,EOS50
C41,Control,2022-11-19,323,EOS50
C42,Control,2022-11-13,317,EOS50
C43,Control,2022-11-16,320,EOS50
C44,Control,2022-11-20,324,EOS50
C45,Control,2022-11-12,316,EOS50
C46,Control,2022-11-18,322,EOS50
C47,Control,2022-11-12,316,EOS50
C48,Control,2022-11-19,323,EOS50
C49,Control,2022-11-18,322,EOS50
C50,Control,2022-11-13,317,EOS50
C51,Control,2022-11-25,329,EOS50
C52,Control,2022-11-28,332,EOS50
C53,Control,2022-11-25,329,EOS50
C54,Control,2022-11-20,324,EOS50
D55,Control,2022-11-13,317,EOS50
D56,Control,2022-11-12,316,EOS50
D57,Control,2022-11-12,316,EOS50
D58,Control,2022-11-06,310,EOS50
D59,Control,2022-11-22,326,EOS50
D60,Control,2022-11-26,330,EOS50
D61,Control,2022-11-09,313,EOS50
D62,Control,2022-11-07,311,EOS50
D63,Control,2022-11-23,327,EOS50
D64,Control,2022-11-18,322,EOS50
D65,Control,2022-11-19,323,EOS50
D66,Control,2022-11-23,327,EOS50
D67,Control,2022-11-12,316,EOS50
D68,Control,2022-11-25,329,EOS50
D70,Control,2022-11-12,316,EOS50
D71,Control,2022-11-13,317,EOS50
D72,Control,2022-11-09,313,EOS50
E73,Pre_day,2022-11-14,318,EOS50
E74,Pre_day,2022-11-12,316,EOS50
E75,Pre_day,2022-11-17,321,EOS50
E76,Pre_day,2022-11-29,333,EOS50
E77,Pre_day,2022-11-19,323,EOS50
E78,Pre_day,2022-11-20,324,EOS50
E79,Pre_day,2022-11-27,331,EOS50
E80,Pre_day,2022-11-13,317,EOS50
E81,Pre_day,2022-11-09,313,EOS50
E82,Pre_day,2022-11-20,324,EOS50
E83,Pre_day,2022-11-20,324,EOS50
E84,Pre_day,2022-11-13,317,EOS50
E85,Pre_day,2022-11-17,321,EOS50
E86,Pre_day,2022-11-10,314,EOS50
E87,Pre_day,2022-11-09,313,EOS50
E88,Pre_day,2022-11-23,327,EOS50
E89,Pre_day,2022-11-15,319,EOS50
E90,Pre_day,2022-11-20,324,EOS50
F100,Pre_night,2022-11-15,319,EOS50
F101,Pre_night,2022-11-30,334,EOS50
F102,Pre_night,2022-11-23,327,EOS50
F103,Pre_night,2022-11-13,317,EOS50
F104,Pre_night,2022-11-17,321,EOS50
F105,Pre_night,2022-11-19,323,EOS50
F106,Pre_night,2022-11-15,319,EOS50
F108,Pre_night,2022-11-26,330,EOS50
F91,Pre_night,2022-11-21,325,EOS50
F92,Pre_night,2022-11-25,329,EOS50
F93,Pre_night,2022-11-05,309,EOS50
F94,Pre_night,2022-11-12,316,EOS50
F95,Pre_night,2022-11-22,326,EOS50
F96,Pre_night,2022-11-20,324,EOS50
F97,Pre_night,2022-11-21,325,EOS50
F98,Pre_night,2022-11-17,321,EOS50
G109,Pre_full,2022-11-28,332,EOS50
G110,Pre_full,2022-11-20,324,EOS50
G111,Pre_full,2022-11-10,314,EOS50
G112,Pre_full,2022-11-11,315,EOS50
G113,Pre_full,2022-11-24,328,EOS50
G114,Pre_full,2022-11-14,318,EOS50
G115,Pre_full,2022-11-19,323,EOS50
G116,Pre_full,2022-11-16,320,EOS50
G117,Pre_full,2022-11-21,325,EOS50
G118,Pre_full,2022-11-21,325,EOS50
G119,Pre_full,2022-11-26,330,EOS50
G120,Pre_full,2022-11-24,328,EOS50
G121,Pre_full,2022-11-22,326,EOS50
G122,Pre_full,2022-11-15,319,EOS50
G123,Pre_full,2022-11-16,320,EOS50
G124,Pre_full,2022-11-07,311,EOS50
G125,Pre_full,2022-11-21,325,EOS50
G126,Pre_full,2022-11-21,325,EOS50
H127,Control,2022-11-18,322,EOS50
H128,Control,2022-11-21,325,EOS50
H129,Control,2022-11-15,319,EOS50
H130,Control,2022-11-04,308,EOS50
H131,Control,2022-11-21,325,EOS50
H132,Control,2022-11-09,313,EOS50
H133,Control,2022-11-17,321,EOS50
H134,Control,2022-11-16,320,EOS50
H135,Control,2022-11-13,317,EOS50
H136,Control,2022-11-06,310,EOS50
H137,Control,2022-11-13,317,EOS50
H138,Control,2022-11-14,318,EOS50
H139,Control,2022-11-13,317,EOS50
H140,Control,2022-11-12,316,EOS50
H141,Control,2022-11-26,330,EOS50
H142,Control,2022-11-18,322,EOS50
H144,Control,2022-11-11,315,EOS50
I145,Post_day,2022-11-23,327,EOS50
I146,Post_day,2022-11-19,323,EOS50
I147,Post_day,2022-11-14,318,EOS50
I148,Post_day,2022-11-21,325,EOS50
I149,Post_day,2022-11-12,316,EOS50
I150,Post_day,2022-11-12,316,EOS50
I151,Post_day,2022-11-10,314,EOS50
I152,Post_day,2022-11-18,322,EOS50
I154,Post_day,2022-11-07,311,EOS50
I155,Post_day,2022-11-07,311,EOS50
I157,Post_day,2022-10-31,304,EOS50
I159,Post_day,2022-11-07,311,EOS50
I160,Post_day,2022-11-13,317,EOS50
I161,Post_day,2022-11-08,312,EOS50
I162,Post_day,2022-11-14,318,EOS50
J163,Post_night,2022-11-19,323,EOS50
J164,Post_night,2022-11-16,320,EOS50
J165,Post_night,2022-11-08,312,EOS50
J166,Post_night,2022-11-26,330,EOS50
J167,Post_night,2022-11-12,316,EOS50
J168,Post_night,2022-11-17,321,EOS50
J169,Post_night,2022-11-13,317,EOS50
J170,Post_night,2022-11-17,321,EOS50
J171,Post_night,2022-11-21,325,EOS50
J172,Post_night,2022-11-22,326,EOS50
J173,Post_night,2022-11-11,315,EOS50
J175,Post_night,2022-11-28,332,EOS50
J176,Post_night,2022-11-16,320,EOS50
J177,Post_night,2022-11-12,316,EOS50
J178,Post_night,2022-11-13,317,EOS50
J179,Post_night,2022-11-15,319,EOS50
K181,Post_full,2022-11-12,316,EOS50
K183,Post_full,2022-11-24,328,EOS50
K184,Post_full,2022-11-21,325,EOS50
K185,Post_full,2022-11-22,326,EOS50
K187,Post_full,2022-11-18,322,EOS50
K188,Post_full,2022-11-15,319,EOS50
K189,Post_full,2022-11-18,322,EOS50
K191,Post_full,2022-11-19,323,EOS50
K192,Post_full,2022-11-12,316,EOS50
K193,Post_full,2022-11-16,320,EOS50
K194,Post_full,2022-11-16,320,EOS50
K195,Post_full,2022-11-15,319,EOS50
K196,Post_full,2022-11-15,319,EOS50
K197,Post_full,2022-11-13,317,EOS50
K198,Post_full,2022-11-17,321,EOS50
A02,Control,2022-11-21,325,EOS85
A03,Control,2022-12-08,342,EOS85
A04,Control,2022-11-24,328,EOS85
A05,Control,2022-11-28,332,EOS85
A06,Control,2022-11-24,328,EOS85
A07,Control,2022-11-25,329,EOS85
A08,Control,2022-11-26,330,EOS85
A10,Control,2022-11-24,328,EOS85
A11,Control,2022-12-09,343,EOS85
A12,Control,2022-12-09,343,EOS85
A13,Control,2022-12-01,335,EOS85
A14,Control,2022-11-26,330,EOS85
A15,Control,2022-11-26,330,EOS85
A16,Control,2022-11-25,329,EOS85
A17,Control,2022-11-26,330,EOS85
A18,Control,2022-11-26,330,EOS85
C37,Control,2022-11-25,329,EOS85
C38,Control,2022-11-18,322,EOS85
C40,Control,2022-11-25,329,EOS85
C41,Control,2022-11-27,331,EOS85
C42,Control,2022-11-24,328,EOS85
C43,Control,2022-11-26,330,EOS85
C44,Control,2022-11-27,331,EOS85
C45,Control,2022-11-25,329,EOS85
C46,Control,2022-12-07,341,EOS85
C47,Control,2022-11-26,330,EOS85
C48,Control,2022-12-04,338,EOS85
C49,Control,2022-11-27,331,EOS85
C50,Control,2022-11-25,329,EOS85
C51,Control,2022-12-07,341,EOS85
C52,Control,2022-12-09,343,EOS85
C53,Control,2022-12-08,342,EOS85
C54,Control,2022-11-27,331,EOS85
D55,Control,2022-11-30,334,EOS85
D56,Control,2022-11-25,329,EOS85
D57,Control,2022-11-23,327,EOS85
D58,Control,2022-11-17,321,EOS85
D59,Control,2022-12-07,341,EOS85
D60,Control,2022-12-08,342,EOS85
D61,Control,2022-11-25,329,EOS85
D62,Control,2022-11-25,329,EOS85
D63,Control,2022-12-07,341,EOS85
D64,Control,2022-12-02,336,EOS85
D65,Control,2022-11-30,334,EOS85
D66,Control,2022-12-05,339,EOS85
D67,Control,2022-11-25,329,EOS85
D68,Control,2022-12-09,343,EOS85
D70,Control,2022-11-24,328,EOS85
D71,Control,2022-11-26,330,EOS85
D72,Control,2022-11-22,326,EOS85
E73,Pre_day,2022-11-25,329,EOS85
E74,Pre_day,2022-11-23,327,EOS85
E75,Pre_day,2022-11-27,331,EOS85
E76,Pre_day,2022-12-09,343,EOS85
E77,Pre_day,2022-12-05,339,EOS85
E78,Pre_day,2022-11-27,331,EOS85
E79,Pre_day,2022-12-09,343,EOS85
E80,Pre_day,2022-11-25,329,EOS85
E81,Pre_day,2022-11-24,328,EOS85
E82,Pre_day,2022-11-27,331,EOS85
E83,Pre_day,2022-12-03,337,EOS85
E84,Pre_day,2022-11-28,332,EOS85
E85,Pre_day,2022-11-26,330,EOS85
E86,Pre_day,2022-11-18,322,EOS85
E87,Pre_day,2022-11-20,324,EOS85
E88,Pre_day,2022-12-05,339,EOS85
E89,Pre_day,2022-11-26,330,EOS85
E90,Pre_day,2022-11-27,331,EOS85
F100,Pre_night,2022-11-26,330,EOS85
F101,Pre_night,2022-12-10,344,EOS85
F102,Pre_night,2022-12-07,341,EOS85
F103,Pre_night,2022-11-25,329,EOS85
F104,Pre_night,2022-11-30,334,EOS85
F105,Pre_night,2022-12-05,339,EOS85
F106,Pre_night,2022-11-26,330,EOS85
F108,Pre_night,2022-12-08,342,EOS85
F91,Pre_night,2022-12-07,341,EOS85
F92,Pre_night,2022-12-08,342,EOS85
F93,Pre_night,2022-11-18,322,EOS85
F94,Pre_night,2022-11-25,329,EOS85
F95,Pre_night,2022-12-03,337,EOS85
F96,Pre_night,2022-11-27,331,EOS85
F97,Pre_night,2022-11-28,332,EOS85
F98,Pre_night,2022-11-27,331,EOS85
G109,Pre_full,2022-12-09,343,EOS85
G110,Pre_full,2022-12-06,340,EOS85
G111,Pre_full,2022-11-20,324,EOS85
G112,Pre_full,2022-11-19,323,EOS85
G113,Pre_full,2022-12-06,340,EOS85
G114,Pre_full,2022-11-24,328,EOS85
G115,Pre_full,2022-12-07,341,EOS85
G116,Pre_full,2022-11-26,330,EOS85
G117,Pre_full,2022-11-28,332,EOS85
G118,Pre_full,2022-12-03,337,EOS85
G119,Pre_full,2022-12-09,343,EOS85
G120,Pre_full,2022-12-07,341,EOS85
G121,Pre_full,2022-12-02,336,EOS85
G122,Pre_full,2022-11-26,330,EOS85
G123,Pre_full,2022-11-26,330,EOS85
G124,Pre_full,2022-11-18,322,EOS85
G125,Pre_full,2022-11-30,334,EOS85
G126,Pre_full,2022-11-28,332,EOS85
H127,Control,2022-11-30,334,EOS85
H128,Control,2022-12-03,337,EOS85
H129,Control,2022-11-26,330,EOS85
H130,Control,2022-11-23,327,EOS85
H131,Control,2022-12-02,336,EOS85
H132,Control,2022-11-24,328,EOS85
H133,Control,2022-11-30,334,EOS85
H134,Control,2022-11-26,330,EOS85
H135,Control,2022-11-23,327,EOS85
H136,Control,2022-11-26,330,EOS85
H137,Control,2022-12-02,336,EOS85
H138,Control,2022-11-26,330,EOS85
H139,Control,2022-11-26,330,EOS85
H140,Control,2022-11-24,328,EOS85
H141,Control,2022-12-09,343,EOS85
H142,Control,2022-11-27,331,EOS85
H144,Control,2022-11-25,329,EOS85
I145,Post_day,2022-11-28,332,EOS85
I146,Post_day,2022-12-06,340,EOS85
I147,Post_day,2022-11-25,329,EOS85
I148,Post_day,2022-11-28,332,EOS85
I149,Post_day,2022-11-26,330,EOS85
I150,Post_day,2022-11-24,328,EOS85
I151,Post_day,2022-11-25,329,EOS85
I152,Post_day,2022-11-27,331,EOS85
I154,Post_day,2022-11-23,327,EOS85
I155,Post_day,2022-11-23,327,EOS85
I157,Post_day,2022-12-04,338,EOS85
I159,Post_day,2022-11-27,331,EOS85
I160,Post_day,2022-11-26,330,EOS85
I161,Post_day,2022-11-23,327,EOS85
I162,Post_day,2022-11-26,330,EOS85
J163,Post_night,2022-11-27,331,EOS85
J164,Post_night,2022-11-26,330,EOS85
J165,Post_night,2022-11-18,322,EOS85
J166,Post_night,2022-12-08,342,EOS85
J167,Post_night,2022-12-05,339,EOS85
J168,Post_night,2022-12-03,337,EOS85
J169,Post_night,2022-11-25,329,EOS85
J170,Post_night,2022-11-29,333,EOS85
J171,Post_night,2022-11-28,332,EOS85
J172,Post_night,2022-12-02,336,EOS85
J173,Post_night,2022-11-24,328,EOS85
J175,Post_night,2022-12-09,343,EOS85
J176,Post_night,2022-11-26,330,EOS85
J177,Post_night,2022-11-24,328,EOS85
J178,Post_night,2022-11-25,329,EOS85
J179,Post_night,2022-11-27,331,EOS85
K181,Post_full,2022-11-25,329,EOS85
K183,Post_full,2022-12-08,342,EOS85
K184,Post_full,2022-12-02,336,EOS85
K185,Post_full,2022-11-28,332,EOS85
